name,price,usual_price,discount,description,url,image,categories,store
Lea & Perrins Worcestershire saus,2.09,2.09,null,"Zuur-pittige tafelsaus voor bij vlees- of visgerechten Ideaal bij een caesarsalade, filet americain of steak tartare Zonder smaakstoffen en conserveeringsmiddelen","https://www.ah.nl/producten/product/wi103/lea-en-perrins-worcestershire-saus
",https://static.ah.nl/dam/product/AHI_43545239363033333132?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Smaakmakers/Tafelsauzen, toevoegingen/Worcester sauce",Albert Heijn
AH Aardappelballetjes,1.69,1.69,null,"Voorgebakken aardappelballetjes, van verse aardappelpuree. Frituur (175°C): maximaal 200-250 gram aardappelkroketjes gedurende 3-4 minuten. Laat na het frituren even uitlekken. Oven (220°C): bak de aardappelkroketjes 15-20 minuten in het midden van een voorverwarmde oven. Eenmaal keren. Bereidingswijze: Frituur, Oven Weetje of tip: Met wat Italiaanse roerbakgroente en kipreepjes serveer je in een handomdraai een heerlijke aardappelschotel. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd PrijsfavorietVeganDiepvries","https://www.ah.nl/producten/product/wi107/ah-aardappelballetjes
",https://static.ah.nl/dam/product/AHI_434d50303130393731?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Diepvries/Aardappelproducten/Aardappelballetjes,Albert Heijn
Campina Halfvolle yoghurt vanillesmaak,2.15,2.15,null,"Deze yoghurt is mild van smaak en bevat van nature voedingstoffen die je dagelijks nodig hebt zoals calcium en proteine. Daarnaast besteden Campina boeren extra aandacht aan koe, natuur en klimaat. Zacht en mild van smaak Van nature rijk aan calcium, proteine en vitamine b4 Planetproof gecertificeerd en daarmee duurzamer geproduceerd Gemaakt van Nederlandse weidemelk Vega","https://www.ah.nl/producten/product/wi123/campina-halfvolle-yoghurt-vanillesmaak
",https://static.ah.nl/dam/product/AHI_43545239373933313234?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Yoghurt en kwark/Yoghurt/Yoghurt met smaak/Vanille yoghurt",Albert Heijn
AH Galia meloen,2.85,2.85,null,"Wat is Nutri-Score? De Galiameloen is een sappige en zoete meloen. Lekker in een fruitsalade of in combinatie met parmaham. Smaak: Galiameloen heeft een sappige, zeer zoete smaak. Bewaren: Buiten de koelkast.","https://www.ah.nl/producten/product/wi141/ah-galia-meloen
",https://static.ah.nl/dam/product/AHI_434d50303133303437?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Aardappel, groente, fruit/Fruit/Meloen, kokosnoot/Meloenen/Galia meloen",Albert Heijn
AH Koffiefilter no2 bruin,0.75,0.75,null,,"https://www.ah.nl/producten/product/wi159/ah-koffiefilter-no2-bruin
",https://static.ah.nl/dam/product/AHI_43545239383939343231?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Frisdrank, sappen, koffie, thee/Koffie/Koffieverrijkers/Koffiefilters, suiker/Koffiefilter en overige/Koffiefilters",Albert Heijn
AH Smeerkaas naturel,0.75,0.75,null,"Wat is Nutri-Score? Kaas van Nederlandse bodem. Volle smeerkaas naturel met een volle, romige smaak. Smaak: Volromig en smeuïg Herkomst: Nederland Gemaakt van: Koemelk Prijsfavorieten: topkwaliteit en altijd laaggeprijsd Prijsfavoriet","https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel
",https://static.ah.nl/dam/product/AHI_43545239383631323539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Hartig broodbeleg/Smeerkaas,Albert Heijn
AH Zachte kruiden roomkaas,0.85,0.85,null,Wat is Nutri-Score? Verse roomkaas kruiden met knoflook en kruiden. Lekker makkelijk te smeren en ook handig om mee te koken. Smaak: Zacht en romig Herkomst: Denemarken Gemaakt van: Koemelk Prijsfavorieten: topkwaliteit en altijd laaggeprijsd PrijsfavorietVega,"https://www.ah.nl/producten/product/wi257/ah-zachte-kruiden-roomkaas
",https://static.ah.nl/dam/product/AHI_43545239383338323334?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Kaas beleg/Roomkaas/Roomkaas (kruiden),Albert Heijn
Chiarli 1860 Lambrusco bianco,2.39,2.39,null,"Kleur, smaak: wit, lichtzoet Druivenras: lambrusco Land, streek: Italie, Emilia Romagna Lekker bij: kaas, dessert VegaPrijswinnaar","https://www.ah.nl/producten/product/wi284/chiarli-1860-lambrusco-bianco
",https://static.ah.nl/dam/product/AHI_43545239393331383331?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Wijn en bubbels/Witte wijn/Overige witte wijn/Diverse witte wijn,Albert Heijn
AH Kattenbak houtkorrels,6.49,6.49,null,100% biologisch afbreekbaar Verspreidt een aangename houtgeur Multi-inzetbaar als bodembedekker voor knaagdieren Prijsfavoriet,"https://www.ah.nl/producten/product/wi294/ah-kattenbak-houtkorrels
",https://static.ah.nl/dam/product/AHI_43545239383535373739?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Huisdier/Katten/Kattenbakvulling,Albert Heijn
AH Fruitcocktail siroop,1.89,1.89,null,"Fruitcocktail van perziken, peren, ananas, druiven en kersen. Vegan","https://www.ah.nl/producten/product/wi309/ah-fruitcocktail-siroop
",https://static.ah.nl/dam/product/AHI_43545239363338373839?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Conserven/Fruitconserven/Fruitmix (conserven)",Albert Heijn
